,urls
288,https://www.cnn.com/2022/03/17/business/putin-wealth-sanctions-invs/index.html
289,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-18-22/index.html
290,https://www.cnn.com/2022/03/18/politics/polling-ukraine-russia/index.html
291,https://www.cnn.com/2022/03/18/politics/information-campaign-ukraine-russia-schwarzenegger/index.html
292,https://www.cnn.com/2022/03/18/middleeast/mideast-summary-03-18-2022-intl/index.html
293,https://www.cnn.com/2022/03/18/politics/ukraine-military-weapons-javelin-stinger-s300-switchblade-drones/index.html
294,https://www.cnn.com/2022/03/18/health/ukraine-insulin-shortage/index.html
295,https://www.cnn.com/2022/03/17/europe/james-hill-american-killed-ukraine-intl/index.html
296,https://www.cnn.com/2022/03/18/politics/russian-pravda-report-tennessee-guard-killed-ukraine/index.html
297,https://www.cnn.com/2022/03/18/tech/african-students-ukraine-social-media/index.html
298,https://www.cnn.com/2022/03/18/tech/social-media-russia-government-accounts/index.html
299,https://www.cnn.com/2022/03/18/world/russia-renewable-energy-revolution-climate/index.html
300,https://www.cnn.com/2022/03/18/investing/premarket-stocks-trading/index.html
301,https://www.cnn.com/2022/03/18/media/axios-ukraine-article/index.html
302,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-19-22/index.html
303,https://www.cnn.com/2022/03/19/media/war-reporting-photography-ukraine/index.html
304,https://www.cnn.com/2022/03/19/us/american-classes-teaching-russia-ukraine-invasion/index.html
305,https://www.cnn.com/2022/03/18/politics/don-lemon-lloyd-austin-interview-cnntv/index.html
